Designator,Mid X,Mid Y,Rotation,Layer
BT1,133.985,-79.375,180.0,top
C1,114.3,-108.585,0.0,top
C10,99.5172,-76.0222,0.0,top
C11,111.0614,-95.0842,0.0,top
C14,115.57,-73.66,180.0,top
C15,112.395,-58.42,90.0,top
C16,112.7252,-52.9336,270.0,top
C17,100.6478,-73.66,180.0,top
C18,99.7966,-71.8312,180.0,top
C19,103.505,-69.215,0.0,top
C2,124.21,-99.54,270.0,top
C21,113.03,-74.295,0.0,top
C22,120.0912,-57.658,0.0,top
C23,107.2896,-133.4008,0.0,top
C25,100.076,-79.5884,270.0,top
C26,115.57,-71.755,0.0,top
C27,111.76,-72.39,0.0,top
C28,131.445,-121.92,0.0,top
C29,137.16,-116.84,0.0,top
C3,123.19,-95.25,90.0,top
C30,137.41,-118.11,0.0,top
C31,137.414,-121.6406,180.0,top
C4,125.73,-95.25,90.0,top
C5,122.875,-69.215,180.0,top
C6,117.983,-80.4418,90.0,top
C7,122.0978,-101.854,0.0,top
C8,116.84,-107.315,180.0,top
C9,111.0614,-93.1142,0.0,top
D1,100.1268,-85.217,90.0,top
D2,100.1268,-93.0911,90.0,top
D3,114.8842,-89.6874,180.0,top
D4,114.9096,-83.4672,180.0,top
D5,114.9096,-86.8172,180.0,top
FB1,115.5192,-65.3034,0.0,top
J1,133.35,-129.54,0.0,top
J2,134.725,-99.64,270.0,top
J4,104.885,-54.305,0.0,top
J5,130.175,-59.69,90.0,top
J6,121.8692,-46.7614,90.0,top
L1,108.9914,-90.7542,180.0,top
NT1,106.3228,-79.6036,180.0,top
R1,108.7272,-102.8954,0.0,top
R10,114.935,-52.705,180.0,top
R11,119.695,-63.5,180.0,top
R12,125.385,-133.985,270.0,top
R13,127.0,-133.985,90.0,top
R14,135.255,-123.19,90.0,top
R15,137.16,-123.19,90.0,top
R16,108.1714,-93.1242,0.0,top
R17,108.1714,-95.1142,0.0,top
R2,120.04,-102.87,0.0,top
R3,120.015,-101.6,0.0,top
R4,124.46,-69.215,90.0,top
R5,115.86,-80.645,0.0,top
R6,120.65,-109.22,0.0,top
R7,112.395,-109.855,0.0,top
R8,108.905,-110.835,0.0,top
R9,114.3,-58.42,180.0,top
SW1,132.12,-70.79,0.0,top
SW2,124.5525,-78.74,0.0,top
U1,114.87,-103.505,270.0,top
U2,118.11,-95.25,180.0,top
U3,114.83,-122.13,90.0,top
U4,121.8025,-106.68,0.0,top
U5,106.045,-73.66,270.0,top
U6,134.369937,-119.507,0.0,top
U7,109.22,-87.2857,180.0,top
